Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
2,0.8174283427294572,1.5385795582432258,1.2151736345322863,-1.3666446500343015,1.2641033098817072,0.4439534861642392,-0.5913143911463034,0.8637168170085197,-1.1735067402395403
4,1.096957919971687,0.9757439646576201,0.813901514032064,-0.5565655782348184,-0.14765281049908688,-0.49726952285467874,-0.322603331272096,0.12427512993372124,-1.4793742914207892
7,-1.4188082752083813,0.5221651051777013,1.1707363049258168,-1.4837057502240913,-0.27783929705594146,1.178904786024315,0.16247247811121387,-1.1587982934813603,-0.10297031110516743
1,-0.300689966239462,1.2067723015219771,-0.9905259450669954,1.053431011528228,-1.3970470769230439,-0.8240108436651133,0.29740963371904106,-0.9775315362618069,1.5028343325963913
2,-0.8597491207239216,-1.5072902276642839,0.50340902262763,1.0680636490519517,1.4814107912446697,0.2021475750074454,-0.18766617566426883,-1.1894085206816096,1.5793012203917036
8,0.5378987654872275,-0.16167329558873333,-1.5873362546397034,-0.2785454652840678,1.1943075129063596,-1.7322997142469054,-0.19231918103005588,-0.20648245468636114,0.5852316790526433
5,1.6560170744561467,1.6678565717115945,-1.487326039770108,-0.8232047508893398,-0.6550336041142042,1.5195131124924874,-0.7541695789488536,0.7656784178475469,-1.0970398524442277
2,-0.5802195434816918,0.9044671362901147,0.7588650615297405,-1.312585183627211,0.8809689349957552,1.5489804995151788,-0.4110104332220515,0.8935967244958011,-1.7087749548067266
7,1.096957919971687,1.573393009135688,-1.6424663364821668,1.2208934187441776,0.9136393080480458,0.7247603507334193,-0.12019759786035504,-1.4116223379618773,-0.5617716378770414
1,-0.5802195434816918,0.939340265378117,0.2927444152725182,1.3115344789605774,-0.9396618541909773,-0.2710639930628394,0.3357969279867848,-0.022041615637371285,-1.2499736280348526
4,-0.4404547548605769,1.2703611741110723,1.200996885271081,-0.8004428702968807,0.397348412691395,-1.1195514017456392,-1.293918201380162,-0.07234238586801724,0.8910992302338929
7,-0.02116038899723217,0.6852726345531646,-0.4035798032690424,0.4278857573890389,-0.8456107802525652,-0.030991457613262434,0.9162593473687312,-0.2202602169636931,1.6557681081870161
7,0.25836918824499766,0.872848224100097,-1.5713080379757285,-0.826456448116834,1.0076903819864582,1.0055672153025987,0.6254465120070347,-0.6988092311906683,-1.4029074036254772
5,1.2367227085928019,0.04805694643196414,0.7599815738114106,-0.9422981618463134,-1.1960747820862268,0.359884764364207,-0.707639525290982,-0.09192057201949584,-0.3323709744911044
0,-1.1392786979661513,1.4418903500218807,1.5121159188764524,-1.6471035359056732,0.5884205944820634,0.09034484189193866,-0.14695237871363115,0.0498948760899405,1.4263674448010792
1,-1.4188082752083813,1.0971399458325954,0.7715641567687364,0.27383660123650305,-0.5995929710557718,1.2066387973397894,1.5548843338230158,0.3387222779587756,0.8146323424385805
